Date,InstID,ChT,Ch1,Ch2,Ch3,Ch4,Ch5,
2020/09/25 13:00:20,200166805,20.5,89.522,0.993,0.092,0.063,1.000,
2020/09/25 14:00:20,200166805,26.7,89.527,0.993,0.092,0.063,1.000,
2020/09/25 15:00:20,200166805,25.3,89.543,0.993,0.092,0.063,1.000,
